Index, PC, Target, State Machine, Prediction, Busy
   0, 00404000, 00404010, 00, Taken, true
   1, 0044F004, 0044F018, 00, Taken, true
   2, 00000000, 00000000, 00, Taken, false
   3, 0045800C, 0045C0E0, 00, Taken, true
   4, 00401010, 0044EAB0, 00, Taken, true
   5, 0044F014, 0044EB18, 00, Taken, true
   6, 00458018, 00457F9C, 00, Taken, true
   7, 0044F01C, 0044EB18, 00, Taken, true
   8, 00408021, 0044DCF8, 00, Taken, true
   9, 0044F024, 0044EB18, 00, Taken, true
  10, 0044E028, 0044E3EC, 00, Taken, true
  11, 0044F02C, 0044EB18, 00, Taken, true
  12, 00000000, 00000000, 00, Taken, false
  13, 0044F034, 0044EB18, 00, Taken, true
  14, 00000000, 00000000, 00, Taken, false
  15, 0044F03C, 0044EB18, 00, Taken, true
  16, 00401040, 0044EAB0, 00, Taken, true
  17, 00000000, 00000000, 00, Taken, false
  18, 00000000, 00000000, 00, Taken, false
  19, 0045C04C, 00457EB8, 00, Taken, true
  20, 00000000, 00000000, 00, Taken, false
  21, 00401054, 00401034, 01, Taken, true
  22, 00404058, 00404060, 00, Taken, true
  23, 0040105C, 0044DB34, 00, Taken, true
  24, 00000000, 00000000, 00, Taken, false
  25, 0044F064, 0044F080, 01, Taken, true
  26, 00401068, 0040473C, 00, Taken, true
  27, 00000000, 00000000, 00, Taken, false
  28, 00000000, 00000000, 00, Taken, false
  29, 0045D074, 0045C780, 00, Taken, true
  30, 00000000, 00000000, 00, Taken, false
  31, 0044E07C, 0044E854, 00, Taken, true
  32, 00000000, 00000000, 00, Taken, false
  33, 00404084, 0043001A, 00, Taken, true
  34, 0044E088, 0044E3E0, 00, Taken, true
  35, 0044F08C, 0044F060, 00, Taken, true
  36, 00000000, 00000000, 00, Taken, false
  37, 00000000, 00000000, 00, Taken, false
  38, 00401098, 0044EAB0, 00, Taken, true
  39, 0040409C, 004040AC, 00, Taken, true
  40, 0044D0A0, 0044D0AC, 00, Taken, true
  41, 004510A4, 004510E8, 00, Taken, true
  42, 00000000, 00000000, 00, Taken, false
  43, 00000000, 00000000, 00, Taken, false
  44, 00000000, 00000000, 00, Taken, false
  45, 0044D0B4, 0044D9F4, 00, Taken, true
  46, 004040B8, 004040E0, 00, Taken, true
  47, 0044D0BC, 00401821, 00, Taken, true
  48, 004580C0, 004580DC, 00, Taken, true
  49, 00000000, 00000000, 00, Taken, false
  50, 0044E0C8, 0044E854, 00, Taken, true
  51, 00000000, 00000000, 00, Taken, false
  52, 004010D0, 0044DB34, 00, Taken, true
  53, 0044E0D4, 0044F048, 00, Taken, true
  54, 00000000, 00000000, 00, Taken, false
  55, 00000000, 00000000, 00, Taken, false
  56, 0044E0E0, 0044E0EC, 00, Taken, true
  57, 004010E4, 0044D1EC, 00, Taken, true
  58, 00000000, 00000000, 00, Taken, false
  59, 004010EC, 0044DB34, 00, Taken, true
  60, 0044E0F0, 0044E3EC, 00, Taken, true
  61, 004010F4, 004011AC, 00, Taken, true
  62, 0044F0F8, 0044E0D8, 00, Taken, true
  63, 00000000, 00000000, 00, Taken, false
  64, 00458100, 0045811C, 00, Taken, true
  65, 00000000, 00000000, 00, Taken, false
  66, 00451108, 004506E4, 00, Taken, true
  67, 0044D10C, 0044DB80, 00, Taken, true
  68, 0044F110, 0044F11C, 00, Taken, true
  69, 0044D114, 0044D160, 00, Taken, true
  70, 00404118, 00403CCC, 00, Taken, true
  71, 00000000, 00000000, 00, Taken, false
  72, 0045C120, 0045C128, 00, Taken, true
  73, 0044F124, 0044D9F4, 00, Taken, true
  74, 00000000, 00000000, 00, Taken, false
  75, 0044F12C, 00401821, 00, Taken, true
  76, 0045C130, 00458260, 00, Taken, true
  77, 00458134, 0044D728, 00, Taken, true
  78, 00000000, 00000000, 00, Taken, false
  79, 0045C13C, 0045C164, 00, Taken, true
  80, 00000000, 00000000, 00, Taken, false
  81, 00000000, 00000000, 00, Taken, false
  82, 00000000, 00000000, 00, Taken, false
  83, 00000000, 00000000, 00, Taken, false
  84, 00000000, 00000000, 00, Taken, false
  85, 00000000, 00000000, 00, Taken, false
  86, 00404158, 0040457C, 00, Taken, true
  87, 00000000, 00000000, 00, Taken, false
  88, 00000000, 00000000, 00, Taken, false
  89, 00000000, 00000000, 00, Taken, false
  90, 00404168, 00436821, 00, Taken, true
  91, 0045316C, 004531B4, 11, NT   , true
  92, 00000000, 00000000, 00, Taken, false
  93, 00000000, 00000000, 00, Taken, false
  94, 00000000, 00000000, 00, Taken, false
  95, 0045317C, 0045318C, 01, Taken, true
  96, 00000000, 00000000, 00, Taken, false
  97, 00000000, 00000000, 00, Taken, false
  98, 00453188, 004532E0, 00, Taken, true
  99, 0045C18C, 00458010, 00, Taken, true
 100, 00404190, 00403CF4, 00, Taken, true
 101, 00000000, 00000000, 00, Taken, false
 102, 0044F198, 0044F24C, 00, Taken, true
 103, 0045319C, 00403821, 00, Taken, true
 104, 004041A0, 00403CCC, 00, Taken, true
 105, 004001A4, 0044CB10, 00, Taken, true
 106, 00000000, 00000000, 00, Taken, false
 107, 00000000, 00000000, 00, Taken, false
 108, 004531B0, 00453170, 00, Taken, true
 109, 0044D1B4, 0044EFB0, 00, Taken, true
 110, 004011B8, 0040484C, 00, Taken, true
 111, 004531BC, 00453298, 00, Taken, true
 112, 00000000, 00000000, 00, Taken, false
 113, 00000000, 00000000, 00, Taken, false
 114, 0044D1C8, 0044D1D8, 00, Taken, true
 115, 00000000, 00000000, 00, Taken, false
 116, 0044E1D0, 0044E2E0, 11, NT   , true
 117, 00000000, 00000000, 00, Taken, false
 118, 00000000, 00000000, 00, Taken, false
 119, 00000000, 00000000, 00, Taken, false
 120, 0044E1E0, 0044E260, 00, Taken, true
 121, 004001E4, 0040039C, 00, Taken, true
 122, 0044D1E8, 0044D1FC, 00, Taken, true
 123, 004001EC, 004003A8, 00, Taken, true
